Date,Open,High,Low,Close,Volume,Adj Close
4/12/2013,158.68,159.04,157.92,158.8,116342000,158.8
4/11/2013,158.7,159.71,158.54,159.19,110046600,159.19
4/10/2013,157.17,158.87,157.13,158.67,135157000,158.67
4/9/2013,156.5,157.32,155.98,156.75,100805700,156.75
4/8/2013,155.27,156.22,154.75,156.21,86450000,156.21
4/5/2013,153.95,155.35,153.77,155.16,159645300,155.16
4/4/2013,155.43,156.17,155.09,155.86,131830200,155.86
4/3/2013,156.91,157.03,154.82,155.23,154014500,155.23
4/2/2013,156.61,157.21,156.37,156.82,101431500,156.82
4/1/2013,156.59,156.91,155.67,156.05,99168600,156.05
3/28/2013,156.09,156.85,155.75,156.67,102897700,156.67
3/27/2013,155.26,156.24,155,156.19,99899900,156.19
3/26/2013,155.59,156.23,155.42,156.19,86767300,156.19
3/25/2013,156.01,156.27,154.35,154.95,151227300,154.95
3/22/2013,154.85,155.6,154.73,155.6,111103300,155.6
3/21/2013,154.76,155.64,154.1,154.36,128500300,154.36
3/20/2013,155.52,155.95,155.26,155.69,113705800,155.69
3/19/2013,155.3,155.51,153.59,154.61,167567300,154.61
3/18/2013,154.34,155.64,154.2,154.97,126704300,154.97
3/15/2013,155.85,156.04,155.31,155.83,138601100,155.83
3/14/2013,156.31,156.8,155.91,156.73,126329900,156.04
3/13/2013,155.76,156.12,155.23,155.9,92550900,155.21
3/12/2013,155.92,156.1,155.21,155.68,105755800,154.99
3/11/2013,155.32,156.04,155.13,156.03,83746800,155.34
3/8/2013,155.46,155.65,154.66,155.44,123477800,154.75
3/7/2013,154.7,154.98,154.52,154.78,86101400,154.09
3/6/2013,154.84,154.92,154.16,154.5,94469900,153.82
3/5/2013,153.66,154.7,153.64,154.29,121431900,153.61
3/4/2013,151.76,152.92,151.52,152.92,99010200,152.24
3/1/2013,151.09,152.34,150.41,152.11,170634800,151.44
2/28/2013,151.9,152.87,151.41,151.61,126866000,150.94
2/27/2013,149.89,152.33,149.76,151.91,150781900,151.24
2/26/2013,149.72,150.2,148.73,150.02,186596200,149.36
2/25/2013,152.63,152.86,149,149,245824800,148.34
2/22/2013,151.15,151.89,150.49,151.89,106356600,151.22
2/21/2013,150.96,151.42,149.94,150.42,183257000,149.75
-->
2/20/2013,153.14,153.19,151.26,151.34,160574800,150.67
2/19/2013,152.37,153.28,152.16,153.25,95105400,152.57
2/15/2013,152.43,152.59,151.55,152.11,215226500,151.44
2/14/2013,151.69,152.47,151.52,152.29,80834300,151.62
2/13/2013,152.33,152.61,151.72,152.15,82322600,151.48
2/12/2013,151.78,152.3,151.61,152.02,65392700,151.35
2/11/2013,151.74,151.9,151.39,151.77,73775000,151.1
2/8/2013,151.22,151.89,151.22,151.8,103133700,151.13
2/7/2013,151.21,151.35,149.86,150.96,162490000,150.29
2/6/2013,150.52,151.26,150.41,151.16,138762800,150.49
2/5/2013,150.35,151.48,150.29,151.05,113912400,150.38
2/4/2013,150.32,151.27,149.43,149.54,159073600,148.88
2/1/2013,150.65,151.42,150.39,151.24,131173000,150.57
1/31/2013,149.89,150.38,149.6,149.7,108975800,149.04
1/30/2013,150.64,150.94,149.93,150.07,137447700,149.41
1/29/2013,149.77,150.85,149.67,150.66,105694400,149.99
1/28/2013,150.29,150.33,149.51,150.07,113357700,149.41
1/25/2013,149.88,150.25,149.37,150.25,147211600,149.58
1/24/2013,149.15,150.14,149.01,149.41,146426400,148.75
1/23/2013,149.13,149.5,148.86,149.37,104596100,148.71
1/22/2013,148.33,149.13,147.98,149.13,111797300,148.47
1/18/2013,147.97,148.49,147.43,148.33,169906000,147.67
1/17/2013,147.7,148.42,147.15,148,133833500,147.34
1/16/2013,146.77,147.28,146.61,147.05,104849500,146.4
1/15/2013,146.29,147.21,146.2,147.07,93172600,146.42
1/14/2013,146.89,147.07,146.43,146.97,89567200,146.32
1/11/2013,147.04,147.15,146.61,147.07,113917300,146.42
1/10/2013,146.73,147.09,145.97,147.08,130735400,146.43
1/9/2013,145.87,146.32,145.64,145.92,90745600,145.27
1/8/2013,145.71,145.91,144.98,145.55,121265100,144.91
1/7/2013,145.85,146.11,145.43,145.97,110002500,145.32
1/4/2013,145.97,146.61,145.67,146.37,116817700,145.72
1/3/2013,145.99,146.37,145.34,145.73,144761800,145.08
1/2/2013,145.11,146.15,144.73,146.06,192059000,145.41
12/31/2012,139.66,142.56,139.54,142.41,243935200,141.78
12/28/2012,140.64,141.42,139.87,140.03,148806700,139.41
12/27/2012,141.79,142.08,139.92,141.56,167920600,140.93
12/26/2012,142.64,142.71,141.35,141.75,106947700,141.12
12/24/2012,142.48,142.56,142.19,142.35,53874600,141.72
12/21/2012,142.17,144.09,141.94,142.79,245883800,142.16
12/20/2012,144.38,145.14,143.98,145.12,168487000,143.46
12/19/2012,145.53,145.58,144.24,144.29,150895400,142.64
12/18/2012,144,145.5,143.79,145.37,177762800,143.71
12/17/2012,142.47,143.85,142.43,143.77,143238200,142.13
12/14/2012,142.32,142.58,141.88,142.1,137701700,140.47
12/13/2012,143.42,143.83,142.27,142.63,135715000,141
12/12/2012,144,144.55,143.31,143.51,145880100,141.87
12/11/2012,143.06,144.11,142.99,143.44,152570400,141.8
12/10/2012,142.21,142.81,142.15,142.47,98840700,140.84
12/7/2012,142.53,142.69,141.67,142.41,108726400,140.78
12/6/2012,141.37,142.04,141.16,141.98,103220600,140.36
12/5/2012,141.37,142.16,140.37,141.5,147300500,139.88
12/4/2012,141.44,141.87,140.87,141.25,127512200,139.63
12/3/2012,142.8,142.92,141.34,141.45,124656300,139.83
11/30/2012,142.14,142.42,141.66,142.15,136568300,140.52
11/29/2012,141.99,142.51,141.37,142.12,151085900,140.49
11/28/2012,139.76,141.54,139,141.46,177086500,139.84
11/27/2012,140.91,141.39,140.24,140.33,128646200,138.72
11/26/2012,140.65,141.36,140.19,141.05,100124400,139.44
11/23/2012,140.13,141.4,140.04,141.35,65409200,139.73
11/21/2012,139.31,139.57,139.03,139.45,81710800,137.85
11/20/2012,138.91,139.42,138.08,139.19,119807400,137.6
11/19/2012,137.9,139.15,136.41,139.13,151495800,137.54
11/16/2012,135.9,136.64,134.7,136.37,239483900,134.81
11/15/2012,135.98,136.49,135.18,135.7,178128400,134.15
11/14/2012,138.21,138.43,135.62,135.93,191505000,134.38
11/13/2012,137.54,139.25,137.36,137.79,123018300,136.21
11/12/2012,138.59,138.81,137.96,138.27,97677500,136.69
11/9/2012,137.62,139.44,137.55,138.16,201055300,136.58
11/8/2012,139.7,140.41,137.93,138.04,181517300,136.46
11/7/2012,141.66,141.68,139.06,139.72,264304500,138.12
11/6/2012,142.28,143.52,142.13,142.96,107068100,141.32
11/5/2012,141.35,142.17,140.93,141.85,98378500,140.23
11/2/2012,143.68,143.72,141.41,141.56,137702200,139.94
11/1/2012,141.65,143.01,141.52,142.83,100995600,141.2
10/31/2012,141.85,142.03,140.68,141.35,103438500,139.73
10/26/2012,141.3,141.84,140.39,141.35,146023500,139.73
10/25/2012,142.02,142.28,140.57,141.43,134457400,139.81
10/24/2012,141.93,142.1,140.8,141.02,120179400,139.41
10/23/2012,141.86,142.06,140.83,141.42,192056300,139.8
10/22/2012,143.15,143.67,142.28,143.41,125578600,141.77
10/19/2012,145.55,145.56,143.05,143.39,185645200,141.75
10/18/2012,145.82,146.52,145.33,145.82,148108500,144.15
10/17/2012,145.64,146.32,145.42,146.2,128834100,144.53
10/16/2012,144.76,145.64,144.66,145.54,108815500,143.88
10/15/2012,143.23,144.23,142.77,144.08,107689100,142.43
10/12/2012,143.46,143.95,142.58,142.89,124181900,141.26
10/11/2012,144.28,144.49,143.33,143.36,123601500,141.72
10/10/2012,144.18,144.32,143.09,143.28,124247500,141.64
10/9/2012,145.53,145.65,144.15,144.2,148872900,142.55
10/8/2012,145.6,146.12,145.31,145.64,78415400,143.97
10/5/2012,146.91,147.16,145.7,146.14,124842100,144.47
10/4/2012,145.64,146.34,145.44,146.13,124311600,144.46
10/3/2012,144.89,145.43,144.13,145.09,121283100,143.43
10/2/2012,144.92,145.15,143.83,144.5,113422200,142.85
10/1/2012,144.52,145.69,144.01,144.35,135911200,142.7
9/28/2012,144.09,144.56,143.46,143.97,150696100,142.32
9/27/2012,143.89,144.97,143.51,144.64,111830300,142.99
9/26/2012,144.07,144.11,142.95,143.29,146502200,141.65
9/25/2012,145.96,146.24,144.06,144.1,133165200,142.45
9/24/2012,145.15,145.98,145.04,145.65,95682000,143.98
9/21/2012,146.64,146.67,145.81,145.87,108737500,144.2
9/20/2012,146.03,146.79,145.63,146.71,154009800,144.26
9/19/2012,146.79,147.17,146.41,146.7,128318300,144.25
9/18/2012,146.49,146.81,146.25,146.62,98326600,144.17
9/17/2012,146.94,147.19,146.37,146.74,119427800,144.29
9/14/2012,146.88,148.11,146.76,147.24,169777000,144.78
9/13/2012,144.37,147.04,143.99,146.59,225470200,144.14
9/12/2012,144.39,144.55,143.9,144.39,87640900,141.98
9/11/2012,143.6,144.37,143.56,143.91,88760000,141.51
9/10/2012,144.19,144.44,143.46,143.51,86458500,141.12
9/7/2012,144.01,144.39,143.88,144.33,107272100,141.92
9/6/2012,141.76,143.78,141.75,143.77,158272500,141.37
9/5/2012,141.09,141.47,140.63,140.91,100660300,138.56
9/4/2012,141.04,141.46,140.13,141.03,120226200,138.68
8/31/2012,141.29,141.82,140.36,141.16,151970400,138.8
8/30/2012,140.9,140.94,140.19,140.49,96589900,138.15
8/29/2012,141.52,141.89,141.12,141.51,65421300,139.15
8/28/2012,141.18,141.84,140.97,141.4,75689600,139.04
8/27/2012,141.89,142.08,141.34,141.54,68785900,139.18
